A,B
./datasets/original/C2_TrainDev/trainA/32345.png,./datasets/original/C2_TrainDev/trainB/32345.png
./datasets/original/C2_TrainDev/trainA/05419.png,./datasets/original/C2_TrainDev/trainB/05419.png
./datasets/original/C2_TrainDev/trainA/45771.png,./datasets/original/C2_TrainDev/trainB/45771.png
./datasets/original/C2_TrainDev/trainA/35203.png,./datasets/original/C2_TrainDev/trainB/35203.png
./datasets/original/C2_TrainDev/trainA/23029.png,./datasets/original/C2_TrainDev/trainB/23029.png
./datasets/original/C2_TrainDev/trainA/48388.png,./datasets/original/C2_TrainDev/trainB/48388.png
./datasets/original/C2_TrainDev/trainA/22551.png,./datasets/original/C2_TrainDev/trainB/22551.png
./datasets/original/C2_TrainDev/trainA/39804.png,./datasets/original/C2_TrainDev/trainB/39804.png
./datasets/original/C2_TrainDev/trainA/05828.png,./datasets/original/C2_TrainDev/trainB/05828.png
./datasets/original/C2_TrainDev/trainA/01876.png,./datasets/original/C2_TrainDev/trainB/01876.png
./datasets/original/C2_TrainDev/trainA/11257.png,./datasets/original/C2_TrainDev/trainB/11257.png
./datasets/original/C2_TrainDev/trainA/19992.png,./datasets/original/C2_TrainDev/trainB/19992.png
./datasets/original/C2_TrainDev/trainA/33553.png,./datasets/original/C2_TrainDev/trainB/33553.png
./datasets/original/C2_TrainDev/trainA/45136.png,./datasets/original/C2_TrainDev/trainB/45136.png
./datasets/original/C2_TrainDev/trainA/26192.png,./datasets/original/C2_TrainDev/trainB/26192.png
./datasets/original/C2_TrainDev/trainA/22272.png,./datasets/original/C2_TrainDev/trainB/22272.png
./datasets/original/C2_TrainDev/trainA/42079.png,./datasets/original/C2_TrainDev/trainB/42079.png
./datasets/original/C2_TrainDev/trainA/22352.png,./datasets/original/C2_TrainDev/trainB/22352.png
./datasets/original/C2_TrainDev/trainA/25099.png,./datasets/original/C2_TrainDev/trainB/25099.png
./datasets/original/C2_TrainDev/trainA/06994.png,./datasets/original/C2_TrainDev/trainB/06994.png
./datasets/original/C2_TrainDev/trainA/46759.png,./datasets/original/C2_TrainDev/trainB/46759.png
./datasets/original/C2_TrainDev/trainA/23050.png,./datasets/original/C2_TrainDev/trainB/23050.png
./datasets/original/C2_TrainDev/trainA/45378.png,./datasets/original/C2_TrainDev/trainB/45378.png
./datasets/original/C2_TrainDev/trainA/02900.png,./datasets/original/C2_TrainDev/trainB/02900.png
./datasets/original/C2_TrainDev/trainA/25198.png,./datasets/original/C2_TrainDev/trainB/25198.png
./datasets/original/C2_TrainDev/trainA/37732.png,./datasets/original/C2_TrainDev/trainB/37732.png
./datasets/original/C2_TrainDev/trainA/07335.png,./datasets/original/C2_TrainDev/trainB/07335.png
./datasets/original/C2_TrainDev/trainA/11738.png,./datasets/original/C2_TrainDev/trainB/11738.png
./datasets/original/C2_TrainDev/trainA/15176.png,./datasets/original/C2_TrainDev/trainB/15176.png
./datasets/original/C2_TrainDev/trainA/47688.png,./datasets/original/C2_TrainDev/trainB/47688.png
./datasets/original/C2_TrainDev/trainA/15302.png,./datasets/original/C2_TrainDev/trainB/15302.png
./datasets/original/C2_TrainDev/trainA/17757.png,./datasets/original/C2_TrainDev/trainB/17757.png
./datasets/original/C2_TrainDev/trainA/00965.png,./datasets/original/C2_TrainDev/trainB/00965.png
./datasets/original/C2_TrainDev/trainA/07416.png,./datasets/original/C2_TrainDev/trainB/07416.png
./datasets/original/C2_TrainDev/trainA/26861.png,./datasets/original/C2_TrainDev/trainB/26861.png
./datasets/original/C2_TrainDev/trainA/34103.png,./datasets/original/C2_TrainDev/trainB/34103.png
./datasets/original/C2_TrainDev/trainA/21006.png,./datasets/original/C2_TrainDev/trainB/21006.png
./datasets/original/C2_TrainDev/trainA/33347.png,./datasets/original/C2_TrainDev/trainB/33347.png
./datasets/original/C2_TrainDev/trainA/43114.png,./datasets/original/C2_TrainDev/trainB/43114.png
./datasets/original/C2_TrainDev/trainA/43835.png,./datasets/original/C2_TrainDev/trainB/43835.png
./datasets/original/C2_TrainDev/trainA/17325.png,./datasets/original/C2_TrainDev/trainB/17325.png
./datasets/original/C2_TrainDev/trainA/15007.png,./datasets/original/C2_TrainDev/trainB/15007.png
./datasets/original/C2_TrainDev/trainA/20295.png,./datasets/original/C2_TrainDev/trainB/20295.png
./datasets/original/C2_TrainDev/trainA/38748.png,./datasets/original/C2_TrainDev/trainB/38748.png
./datasets/original/C2_TrainDev/trainA/42846.png,./datasets/original/C2_TrainDev/trainB/42846.png
./datasets/original/C2_TrainDev/trainA/39938.png,./datasets/original/C2_TrainDev/trainB/39938.png
./datasets/original/C2_TrainDev/trainA/03298.png,./datasets/original/C2_TrainDev/trainB/03298.png
./datasets/original/C2_TrainDev/trainA/44291.png,./datasets/original/C2_TrainDev/trainB/44291.png
./datasets/original/C2_TrainDev/trainA/15458.png,./datasets/original/C2_TrainDev/trainB/15458.png
./datasets/original/C2_TrainDev/trainA/31117.png,./datasets/original/C2_TrainDev/trainB/31117.png
./datasets/original/C2_TrainDev/trainA/47859.png,./datasets/original/C2_TrainDev/trainB/47859.png
./datasets/original/C2_TrainDev/trainA/19742.png,./datasets/original/C2_TrainDev/trainB/19742.png
./datasets/original/C2_TrainDev/trainA/35969.png,./datasets/original/C2_TrainDev/trainB/35969.png
./datasets/original/C2_TrainDev/trainA/10348.png,./datasets/original/C2_TrainDev/trainB/10348.png
./datasets/original/C2_TrainDev/trainA/31135.png,./datasets/original/C2_TrainDev/trainB/31135.png
./datasets/original/C2_TrainDev/trainA/05384.png,./datasets/original/C2_TrainDev/trainB/05384.png
./datasets/original/C2_TrainDev/trainA/19101.png,./datasets/original/C2_TrainDev/trainB/19101.png
./datasets/original/C2_TrainDev/trainA/04587.png,./datasets/original/C2_TrainDev/trainB/04587.png
./datasets/original/C2_TrainDev/trainA/07647.png,./datasets/original/C2_TrainDev/trainB/07647.png
./datasets/original/C2_TrainDev/trainA/01441.png,./datasets/original/C2_TrainDev/trainB/01441.png
./datasets/original/C2_TrainDev/trainA/18904.png,./datasets/original/C2_TrainDev/trainB/18904.png
./datasets/original/C2_TrainDev/trainA/09125.png,./datasets/original/C2_TrainDev/trainB/09125.png
./datasets/original/C2_TrainDev/trainA/11336.png,./datasets/original/C2_TrainDev/trainB/11336.png
./datasets/original/C2_TrainDev/trainA/14232.png,./datasets/original/C2_TrainDev/trainB/14232.png
./datasets/original/C2_TrainDev/trainA/05652.png,./datasets/original/C2_TrainDev/trainB/05652.png
./datasets/original/C2_TrainDev/trainA/33544.png,./datasets/original/C2_TrainDev/trainB/33544.png
./datasets/original/C2_TrainDev/trainA/22860.png,./datasets/original/C2_TrainDev/trainB/22860.png
./datasets/original/C2_TrainDev/trainA/23786.png,./datasets/original/C2_TrainDev/trainB/23786.png
./datasets/original/C2_TrainDev/trainA/38019.png,./datasets/original/C2_TrainDev/trainB/38019.png
./datasets/original/C2_TrainDev/trainA/44737.png,./datasets/original/C2_TrainDev/trainB/44737.png
./datasets/original/C2_TrainDev/trainA/12181.png,./datasets/original/C2_TrainDev/trainB/12181.png
./datasets/original/C2_TrainDev/trainA/03194.png,./datasets/original/C2_TrainDev/trainB/03194.png
./datasets/original/C2_TrainDev/trainA/37562.png,./datasets/original/C2_TrainDev/trainB/37562.png
./datasets/original/C2_TrainDev/trainA/33121.png,./datasets/original/C2_TrainDev/trainB/33121.png
./datasets/original/C2_TrainDev/trainA/39124.png,./datasets/original/C2_TrainDev/trainB/39124.png
./datasets/original/C2_TrainDev/trainA/08670.png,./datasets/original/C2_TrainDev/trainB/08670.png
./datasets/original/C2_TrainDev/trainA/19646.png,./datasets/original/C2_TrainDev/trainB/19646.png
./datasets/original/C2_TrainDev/trainA/31124.png,./datasets/original/C2_TrainDev/trainB/31124.png
./datasets/original/C2_TrainDev/trainA/15811.png,./datasets/original/C2_TrainDev/trainB/15811.png
./datasets/original/C2_TrainDev/trainA/43647.png,./datasets/original/C2_TrainDev/trainB/43647.png
./datasets/original/C2_TrainDev/trainA/10018.png,./datasets/original/C2_TrainDev/trainB/10018.png
./datasets/original/C2_TrainDev/trainA/05676.png,./datasets/original/C2_TrainDev/trainB/05676.png
./datasets/original/C2_TrainDev/trainA/27902.png,./datasets/original/C2_TrainDev/trainB/27902.png
./datasets/original/C2_TrainDev/trainA/33214.png,./datasets/original/C2_TrainDev/trainB/33214.png
./datasets/original/C2_TrainDev/trainA/17382.png,./datasets/original/C2_TrainDev/trainB/17382.png
./datasets/original/C2_TrainDev/trainA/27260.png,./datasets/original/C2_TrainDev/trainB/27260.png
./datasets/original/C2_TrainDev/trainA/43578.png,./datasets/original/C2_TrainDev/trainB/43578.png
./datasets/original/C2_TrainDev/trainA/44849.png,./datasets/original/C2_TrainDev/trainB/44849.png
./datasets/original/C2_TrainDev/trainA/44536.png,./datasets/original/C2_TrainDev/trainB/44536.png
./datasets/original/C2_TrainDev/trainA/47478.png,./datasets/original/C2_TrainDev/trainB/47478.png
./datasets/original/C2_TrainDev/trainA/35430.png,./datasets/original/C2_TrainDev/trainB/35430.png
./datasets/original/C2_TrainDev/trainA/06022.png,./datasets/original/C2_TrainDev/trainB/06022.png
./datasets/original/C2_TrainDev/trainA/01394.png,./datasets/original/C2_TrainDev/trainB/01394.png
./datasets/original/C2_TrainDev/trainA/47661.png,./datasets/original/C2_TrainDev/trainB/47661.png
./datasets/original/C2_TrainDev/trainA/21358.png,./datasets/original/C2_TrainDev/trainB/21358.png
./datasets/original/C2_TrainDev/trainA/43815.png,./datasets/original/C2_TrainDev/trainB/43815.png
./datasets/original/C2_TrainDev/trainA/27356.png,./datasets/original/C2_TrainDev/trainB/27356.png
./datasets/original/C2_TrainDev/trainA/23058.png,./datasets/original/C2_TrainDev/trainB/23058.png
./datasets/original/C2_TrainDev/trainA/05844.png,./datasets/original/C2_TrainDev/trainB/05844.png
./datasets/original/C2_TrainDev/trainA/14043.png,./datasets/original/C2_TrainDev/trainB/14043.png
./datasets/original/C2_TrainDev/trainA/36143.png,./datasets/original/C2_TrainDev/trainB/36143.png
./datasets/original/C2_TrainDev/trainA/38586.png,./datasets/original/C2_TrainDev/trainB/38586.png
./datasets/original/C2_TrainDev/trainA/40657.png,./datasets/original/C2_TrainDev/trainB/40657.png
./datasets/original/C2_TrainDev/trainA/10752.png,./datasets/original/C2_TrainDev/trainB/10752.png
./datasets/original/C2_TrainDev/trainA/18014.png,./datasets/original/C2_TrainDev/trainB/18014.png
./datasets/original/C2_TrainDev/trainA/38585.png,./datasets/original/C2_TrainDev/trainB/38585.png
./datasets/original/C2_TrainDev/trainA/49212.png,./datasets/original/C2_TrainDev/trainB/49212.png
./datasets/original/C2_TrainDev/trainA/41868.png,./datasets/original/C2_TrainDev/trainB/41868.png
./datasets/original/C2_TrainDev/trainA/23165.png,./datasets/original/C2_TrainDev/trainB/23165.png
./datasets/original/C2_TrainDev/trainA/09689.png,./datasets/original/C2_TrainDev/trainB/09689.png
./datasets/original/C2_TrainDev/trainA/19874.png,./datasets/original/C2_TrainDev/trainB/19874.png
./datasets/original/C2_TrainDev/trainA/42274.png,./datasets/original/C2_TrainDev/trainB/42274.png
./datasets/original/C2_TrainDev/trainA/37483.png,./datasets/original/C2_TrainDev/trainB/37483.png
./datasets/original/C2_TrainDev/trainA/09628.png,./datasets/original/C2_TrainDev/trainB/09628.png
./datasets/original/C2_TrainDev/trainA/36991.png,./datasets/original/C2_TrainDev/trainB/36991.png
./datasets/original/C2_TrainDev/trainA/42735.png,./datasets/original/C2_TrainDev/trainB/42735.png
./datasets/original/C2_TrainDev/trainA/00246.png,./datasets/original/C2_TrainDev/trainB/00246.png
./datasets/original/C2_TrainDev/trainA/09034.png,./datasets/original/C2_TrainDev/trainB/09034.png
./datasets/original/C2_TrainDev/trainA/31634.png,./datasets/original/C2_TrainDev/trainB/31634.png
./datasets/original/C2_TrainDev/trainA/03394.png,./datasets/original/C2_TrainDev/trainB/03394.png
./datasets/original/C2_TrainDev/trainA/49662.png,./datasets/original/C2_TrainDev/trainB/49662.png
./datasets/original/C2_TrainDev/trainA/23362.png,./datasets/original/C2_TrainDev/trainB/23362.png
./datasets/original/C2_TrainDev/trainA/08226.png,./datasets/original/C2_TrainDev/trainB/08226.png
./datasets/original/C2_TrainDev/trainA/38850.png,./datasets/original/C2_TrainDev/trainB/38850.png
./datasets/original/C2_TrainDev/trainA/22686.png,./datasets/original/C2_TrainDev/trainB/22686.png
./datasets/original/C2_TrainDev/trainA/22657.png,./datasets/original/C2_TrainDev/trainB/22657.png
./datasets/original/C2_TrainDev/trainA/38266.png,./datasets/original/C2_TrainDev/trainB/38266.png
./datasets/original/C2_TrainDev/trainA/11403.png,./datasets/original/C2_TrainDev/trainB/11403.png
./datasets/original/C2_TrainDev/trainA/44199.png,./datasets/original/C2_TrainDev/trainB/44199.png
./datasets/original/C2_TrainDev/trainA/48487.png,./datasets/original/C2_TrainDev/trainB/48487.png
./datasets/original/C2_TrainDev/trainA/24905.png,./datasets/original/C2_TrainDev/trainB/24905.png
./datasets/original/C2_TrainDev/trainA/45308.png,./datasets/original/C2_TrainDev/trainB/45308.png
./datasets/original/C2_TrainDev/trainA/36963.png,./datasets/original/C2_TrainDev/trainB/36963.png
./datasets/original/C2_TrainDev/trainA/24109.png,./datasets/original/C2_TrainDev/trainB/24109.png
./datasets/original/C2_TrainDev/trainA/43323.png,./datasets/original/C2_TrainDev/trainB/43323.png
./datasets/original/C2_TrainDev/trainA/38234.png,./datasets/original/C2_TrainDev/trainB/38234.png
./datasets/original/C2_TrainDev/trainA/35036.png,./datasets/original/C2_TrainDev/trainB/35036.png
./datasets/original/C2_TrainDev/trainA/20519.png,./datasets/original/C2_TrainDev/trainB/20519.png
./datasets/original/C2_TrainDev/trainA/45574.png,./datasets/original/C2_TrainDev/trainB/45574.png
./datasets/original/C2_TrainDev/trainA/24474.png,./datasets/original/C2_TrainDev/trainB/24474.png
./datasets/original/C2_TrainDev/trainA/08579.png,./datasets/original/C2_TrainDev/trainB/08579.png
./datasets/original/C2_TrainDev/trainA/25596.png,./datasets/original/C2_TrainDev/trainB/25596.png
./datasets/original/C2_TrainDev/trainA/29141.png,./datasets/original/C2_TrainDev/trainB/29141.png
./datasets/original/C2_TrainDev/trainA/46687.png,./datasets/original/C2_TrainDev/trainB/46687.png
./datasets/original/C2_TrainDev/trainA/13957.png,./datasets/original/C2_TrainDev/trainB/13957.png
./datasets/original/C2_TrainDev/trainA/05982.png,./datasets/original/C2_TrainDev/trainB/05982.png
./datasets/original/C2_TrainDev/trainA/23969.png,./datasets/original/C2_TrainDev/trainB/23969.png
./datasets/original/C2_TrainDev/trainA/14812.png,./datasets/original/C2_TrainDev/trainB/14812.png
./datasets/original/C2_TrainDev/trainA/26830.png,./datasets/original/C2_TrainDev/trainB/26830.png
./datasets/original/C2_TrainDev/trainA/19876.png,./datasets/original/C2_TrainDev/trainB/19876.png
./datasets/original/C2_TrainDev/trainA/23468.png,./datasets/original/C2_TrainDev/trainB/23468.png
./datasets/original/C2_TrainDev/trainA/29272.png,./datasets/original/C2_TrainDev/trainB/29272.png
./datasets/original/C2_TrainDev/trainA/08454.png,./datasets/original/C2_TrainDev/trainB/08454.png
./datasets/original/C2_TrainDev/trainA/33006.png,./datasets/original/C2_TrainDev/trainB/33006.png
./datasets/original/C2_TrainDev/trainA/06334.png,./datasets/original/C2_TrainDev/trainB/06334.png
./datasets/original/C2_TrainDev/trainA/47193.png,./datasets/original/C2_TrainDev/trainB/47193.png
./datasets/original/C2_TrainDev/trainA/38937.png,./datasets/original/C2_TrainDev/trainB/38937.png
./datasets/original/C2_TrainDev/trainA/44813.png,./datasets/original/C2_TrainDev/trainB/44813.png
./datasets/original/C2_TrainDev/trainA/34061.png,./datasets/original/C2_TrainDev/trainB/34061.png
./datasets/original/C2_TrainDev/trainA/41788.png,./datasets/original/C2_TrainDev/trainB/41788.png
./datasets/original/C2_TrainDev/trainA/15847.png,./datasets/original/C2_TrainDev/trainB/15847.png
./datasets/original/C2_TrainDev/trainA/49759.png,./datasets/original/C2_TrainDev/trainB/49759.png
./datasets/original/C2_TrainDev/trainA/15745.png,./datasets/original/C2_TrainDev/trainB/15745.png
./datasets/original/C2_TrainDev/trainA/13409.png,./datasets/original/C2_TrainDev/trainB/13409.png
./datasets/original/C2_TrainDev/trainA/08264.png,./datasets/original/C2_TrainDev/trainB/08264.png
./datasets/original/C2_TrainDev/trainA/46345.png,./datasets/original/C2_TrainDev/trainB/46345.png
./datasets/original/C2_TrainDev/trainA/02817.png,./datasets/original/C2_TrainDev/trainB/02817.png
./datasets/original/C2_TrainDev/trainA/00650.png,./datasets/original/C2_TrainDev/trainB/00650.png
./datasets/original/C2_TrainDev/trainA/06071.png,./datasets/original/C2_TrainDev/trainB/06071.png
./datasets/original/C2_TrainDev/trainA/46690.png,./datasets/original/C2_TrainDev/trainB/46690.png
./datasets/original/C2_TrainDev/trainA/15900.png,./datasets/original/C2_TrainDev/trainB/15900.png
./datasets/original/C2_TrainDev/trainA/40226.png,./datasets/original/C2_TrainDev/trainB/40226.png
./datasets/original/C2_TrainDev/trainA/00275.png,./datasets/original/C2_TrainDev/trainB/00275.png
./datasets/original/C2_TrainDev/trainA/31582.png,./datasets/original/C2_TrainDev/trainB/31582.png
./datasets/original/C2_TrainDev/trainA/38995.png,./datasets/original/C2_TrainDev/trainB/38995.png
./datasets/original/C2_TrainDev/trainA/35827.png,./datasets/original/C2_TrainDev/trainB/35827.png
./datasets/original/C2_TrainDev/trainA/00546.png,./datasets/original/C2_TrainDev/trainB/00546.png
./datasets/original/C2_TrainDev/trainA/13966.png,./datasets/original/C2_TrainDev/trainB/13966.png
./datasets/original/C2_TrainDev/trainA/18513.png,./datasets/original/C2_TrainDev/trainB/18513.png
./datasets/original/C2_TrainDev/trainA/30864.png,./datasets/original/C2_TrainDev/trainB/30864.png
./datasets/original/C2_TrainDev/trainA/24497.png,./datasets/original/C2_TrainDev/trainB/24497.png
./datasets/original/C2_TrainDev/trainA/43239.png,./datasets/original/C2_TrainDev/trainB/43239.png
./datasets/original/C2_TrainDev/trainA/30836.png,./datasets/original/C2_TrainDev/trainB/30836.png
./datasets/original/C2_TrainDev/trainA/37979.png,./datasets/original/C2_TrainDev/trainB/37979.png
./datasets/original/C2_TrainDev/trainA/45409.png,./datasets/original/C2_TrainDev/trainB/45409.png
./datasets/original/C2_TrainDev/trainA/02279.png,./datasets/original/C2_TrainDev/trainB/02279.png
./datasets/original/C2_TrainDev/trainA/39115.png,./datasets/original/C2_TrainDev/trainB/39115.png
./datasets/original/C2_TrainDev/trainA/31401.png,./datasets/original/C2_TrainDev/trainB/31401.png
./datasets/original/C2_TrainDev/trainA/42226.png,./datasets/original/C2_TrainDev/trainB/42226.png
./datasets/original/C2_TrainDev/trainA/45393.png,./datasets/original/C2_TrainDev/trainB/45393.png
./datasets/original/C2_TrainDev/trainA/24760.png,./datasets/original/C2_TrainDev/trainB/24760.png
./datasets/original/C2_TrainDev/trainA/25426.png,./datasets/original/C2_TrainDev/trainB/25426.png
./datasets/original/C2_TrainDev/trainA/29804.png,./datasets/original/C2_TrainDev/trainB/29804.png
./datasets/original/C2_TrainDev/trainA/00141.png,./datasets/original/C2_TrainDev/trainB/00141.png
./datasets/original/C2_TrainDev/trainA/34894.png,./datasets/original/C2_TrainDev/trainB/34894.png
./datasets/original/C2_TrainDev/trainA/49355.png,./datasets/original/C2_TrainDev/trainB/49355.png
./datasets/original/C2_TrainDev/trainA/44370.png,./datasets/original/C2_TrainDev/trainB/44370.png
./datasets/original/C2_TrainDev/trainA/09753.png,./datasets/original/C2_TrainDev/trainB/09753.png
./datasets/original/C2_TrainDev/trainA/29925.png,./datasets/original/C2_TrainDev/trainB/29925.png
./datasets/original/C2_TrainDev/trainA/03761.png,./datasets/original/C2_TrainDev/trainB/03761.png
./datasets/original/C2_TrainDev/trainA/27149.png,./datasets/original/C2_TrainDev/trainB/27149.png
./datasets/original/C2_TrainDev/trainA/42968.png,./datasets/original/C2_TrainDev/trainB/42968.png
./datasets/original/C2_TrainDev/trainA/05193.png,./datasets/original/C2_TrainDev/trainB/05193.png
./datasets/original/C2_TrainDev/trainA/45470.png,./datasets/original/C2_TrainDev/trainB/45470.png
./datasets/original/C2_TrainDev/trainA/33864.png,./datasets/original/C2_TrainDev/trainB/33864.png
./datasets/original/C2_TrainDev/trainA/35561.png,./datasets/original/C2_TrainDev/trainB/35561.png
./datasets/original/C2_TrainDev/trainA/28550.png,./datasets/original/C2_TrainDev/trainB/28550.png
./datasets/original/C2_TrainDev/trainA/36045.png,./datasets/original/C2_TrainDev/trainB/36045.png
./datasets/original/C2_TrainDev/trainA/47802.png,./datasets/original/C2_TrainDev/trainB/47802.png
./datasets/original/C2_TrainDev/trainA/27382.png,./datasets/original/C2_TrainDev/trainB/27382.png
./datasets/original/C2_TrainDev/trainA/09866.png,./datasets/original/C2_TrainDev/trainB/09866.png
./datasets/original/C2_TrainDev/trainA/41784.png,./datasets/original/C2_TrainDev/trainB/41784.png
./datasets/original/C2_TrainDev/trainA/31841.png,./datasets/original/C2_TrainDev/trainB/31841.png
./datasets/original/C2_TrainDev/trainA/14438.png,./datasets/original/C2_TrainDev/trainB/14438.png
./datasets/original/C2_TrainDev/trainA/06970.png,./datasets/original/C2_TrainDev/trainB/06970.png
./datasets/original/C2_TrainDev/trainA/16719.png,./datasets/original/C2_TrainDev/trainB/16719.png
./datasets/original/C2_TrainDev/trainA/28416.png,./datasets/original/C2_TrainDev/trainB/28416.png
./datasets/original/C2_TrainDev/trainA/17669.png,./datasets/original/C2_TrainDev/trainB/17669.png
./datasets/original/C2_TrainDev/trainA/48556.png,./datasets/original/C2_TrainDev/trainB/48556.png
./datasets/original/C2_TrainDev/trainA/38217.png,./datasets/original/C2_TrainDev/trainB/38217.png
./datasets/original/C2_TrainDev/trainA/20303.png,./datasets/original/C2_TrainDev/trainB/20303.png
./datasets/original/C2_TrainDev/trainA/47520.png,./datasets/original/C2_TrainDev/trainB/47520.png
./datasets/original/C2_TrainDev/trainA/34549.png,./datasets/original/C2_TrainDev/trainB/34549.png
./datasets/original/C2_TrainDev/trainA/28634.png,./datasets/original/C2_TrainDev/trainB/28634.png
./datasets/original/C2_TrainDev/trainA/28296.png,./datasets/original/C2_TrainDev/trainB/28296.png
./datasets/original/C2_TrainDev/trainA/31228.png,./datasets/original/C2_TrainDev/trainB/31228.png
./datasets/original/C2_TrainDev/trainA/41293.png,./datasets/original/C2_TrainDev/trainB/41293.png
./datasets/original/C2_TrainDev/trainA/01752.png,./datasets/original/C2_TrainDev/trainB/01752.png
./datasets/original/C2_TrainDev/trainA/24967.png,./datasets/original/C2_TrainDev/trainB/24967.png
./datasets/original/C2_TrainDev/trainA/02922.png,./datasets/original/C2_TrainDev/trainB/02922.png
./datasets/original/C2_TrainDev/trainA/07557.png,./datasets/original/C2_TrainDev/trainB/07557.png
./datasets/original/C2_TrainDev/trainA/10147.png,./datasets/original/C2_TrainDev/trainB/10147.png
./datasets/original/C2_TrainDev/trainA/25461.png,./datasets/original/C2_TrainDev/trainB/25461.png
./datasets/original/C2_TrainDev/trainA/49135.png,./datasets/original/C2_TrainDev/trainB/49135.png
./datasets/original/C2_TrainDev/trainA/41165.png,./datasets/original/C2_TrainDev/trainB/41165.png
./datasets/original/C2_TrainDev/trainA/29794.png,./datasets/original/C2_TrainDev/trainB/29794.png
./datasets/original/C2_TrainDev/trainA/15029.png,./datasets/original/C2_TrainDev/trainB/15029.png
./datasets/original/C2_TrainDev/trainA/14538.png,./datasets/original/C2_TrainDev/trainB/14538.png
./datasets/original/C2_TrainDev/trainA/30915.png,./datasets/original/C2_TrainDev/trainB/30915.png
./datasets/original/C2_TrainDev/trainA/06260.png,./datasets/original/C2_TrainDev/trainB/06260.png
./datasets/original/C2_TrainDev/trainA/33686.png,./datasets/original/C2_TrainDev/trainB/33686.png
./datasets/original/C2_TrainDev/trainA/40063.png,./datasets/original/C2_TrainDev/trainB/40063.png
./datasets/original/C2_TrainDev/trainA/36503.png,./datasets/original/C2_TrainDev/trainB/36503.png
./datasets/original/C2_TrainDev/trainA/11259.png,./datasets/original/C2_TrainDev/trainB/11259.png
./datasets/original/C2_TrainDev/trainA/18620.png,./datasets/original/C2_TrainDev/trainB/18620.png
./datasets/original/C2_TrainDev/trainA/46657.png,./datasets/original/C2_TrainDev/trainB/46657.png
./datasets/original/C2_TrainDev/trainA/14378.png,./datasets/original/C2_TrainDev/trainB/14378.png
./datasets/original/C2_TrainDev/trainA/28374.png,./datasets/original/C2_TrainDev/trainB/28374.png
./datasets/original/C2_TrainDev/trainA/49495.png,./datasets/original/C2_TrainDev/trainB/49495.png
./datasets/original/C2_TrainDev/trainA/02908.png,./datasets/original/C2_TrainDev/trainB/02908.png
./datasets/original/C2_TrainDev/trainA/46397.png,./datasets/original/C2_TrainDev/trainB/46397.png
./datasets/original/C2_TrainDev/trainA/44451.png,./datasets/original/C2_TrainDev/trainB/44451.png
./datasets/original/C2_TrainDev/trainA/31193.png,./datasets/original/C2_TrainDev/trainB/31193.png
./datasets/original/C2_TrainDev/trainA/35960.png,./datasets/original/C2_TrainDev/trainB/35960.png
./datasets/original/C2_TrainDev/trainA/14439.png,./datasets/original/C2_TrainDev/trainB/14439.png
